Size_sqft,Rooms,Bathrooms,Location,Age_yrs,Furnishing,House_Type,Parking,Price_INR
3850,4,3,Kolkata,15,Semi-Furnished,Apartment,2,16277000.0
1884,6,6,Delhi,6,Semi-Furnished,Independent House,3,9938000.0
727,2,1,Ahmedabad,26,Fully Furnished,Independent House,3,1333000.0
3984,4,3,Ahmedabad,0,Fully Furnished,Villa,0,18247000.0
1588,2,2,Kolkata,26,Fully Furnished,Apartment,0,6992000.0
932,6,2,Kolkata,25,Fully Furnished,Independent House,3,4918000.0
3942,1,1,Ahmedabad,10,Unfurnished,Apartment,2,21575000.0
3128,6,1,Delhi,1,Unfurnished,Villa,3,8612000.0
3368,6,2,Delhi,7,Unfurnished,Villa,1,12859000.0
1433,4,3,Pune,26,Semi-Furnished,Independent House,2,7262000.0
1275,3,3,Delhi,4,Unfurnished,Apartment,1,6765000.0
3373,1,1,Kolkata,12,Unfurnished,Apartment,0,9351000.0
1874,5,1,Kolkata,24,Fully Furnished,Villa,1,5003000.0
2575,3,2,Delhi,11,Semi-Furnished,Apartment,1,9935000.0
1132,4,4,Mumbai,15,Unfurnished,Independent House,1,3488000.0
2730,6,3,Bangalore,17,Fully Furnished,Villa,0,9081000.0
2208,4,3,Chennai,29,Fully Furnished,Apartment,1,6978000.0
2717,5,5,Delhi,30,Fully Furnished,Villa,0,13606000.0
2386,1,1,Mumbai,13,Unfurnished,Apartment,1,14350000.0
864,3,2,Pune,22,Semi-Furnished,Villa,0,1557000.0
2589,6,2,Bangalore,9,Fully Furnished,Apartment,2,13373000.0
3065,5,5,Ahmedabad,25,Fully Furnished,Independent House,0,14564000.0
3839,4,4,Hyderabad,3,Semi-Furnished,Apartment,0,22316000.0
3697,5,1,Ahmedabad,15,Fully Furnished,Apartment,2,18184000.0
3952,5,2,Hyderabad,1,Fully Furnished,Apartment,1,15000000.0
3167,6,2,Kolkata,11,Fully Furnished,Independent House,2,9997000.0
1226,5,4,Bangalore,27,Unfurnished,Independent House,0,4811000.0
2649,4,4,Chennai,10,Semi-Furnished,Independent House,0,13269000.0
2399,1,1,Delhi,24,Unfurnished,Apartment,0,5627000.0
2272,5,4,Bangalore,15,Unfurnished,Independent House,2,12364000.0
3130,5,5,Hyderabad,22,Unfurnished,Apartment,2,10982000.0
2760,5,3,Delhi,29,Semi-Furnished,Villa,2,10467000.0
1912,3,2,Hyderabad,18,Unfurnished,Independent House,1,6397000.0
3895,1,1,Chennai,24,Fully Furnished,Villa,1,21695000.0
1456,2,2,Pune,10,Unfurnished,Villa,1,8519000.0
733,5,5,Delhi,18,Semi-Furnished,Independent House,3,1706000.0
1791,5,5,Hyderabad,0,Fully Furnished,Apartment,3,9183000.0
3133,3,1,Pune,10,Fully Furnished,Independent House,2,10256000.0
1866,6,3,Delhi,18,Fully Furnished,Apartment,1,8173000.0
2335,2,2,Hyderabad,9,Fully Furnished,Independent House,1,14425000.0
1827,2,1,Bangalore,14,Fully Furnished,Villa,0,4245000.0
2550,3,2,Pune,12,Unfurnished,Apartment,1,9192000.0
2892,6,4,Mumbai,30,Semi-Furnished,Independent House,2,17876000.0
1635,6,5,Hyderabad,5,Fully Furnished,Villa,3,5463000.0
2932,6,5,Chennai,17,Semi-Furnished,Villa,3,9088000.0
1133,5,5,Chennai,1,Fully Furnished,Apartment,3,5773000.0
1770,6,5,Delhi,22,Semi-Furnished,Independent House,2,8111000.0
1464,6,5,Bangalore,8,Fully Furnished,Villa,3,8195000.0
